year,city,avg_temp
1743,Berlin,6.33
1744,Berlin,10.36
1745,Berlin,1.43
1746,Berlin,
1747,Berlin,
1748,Berlin,
1749,Berlin,
1750,Berlin,9.83
1751,Berlin,9.75
1752,Berlin,4.84
1753,Berlin,8.72
1754,Berlin,8.49
1755,Berlin,8.26
1756,Berlin,9.62
1757,Berlin,9.15
1758,Berlin,8.25
1759,Berlin,9.04
1760,Berlin,8.99
1761,Berlin,9.47
1762,Berlin,8.53
1763,Berlin,8.62
1764,Berlin,8.91
1765,Berlin,8.54
1766,Berlin,8.87
1767,Berlin,8.14
1768,Berlin,8.03
1769,Berlin,8.46
1770,Berlin,8.50
1771,Berlin,7.45
1772,Berlin,9.13
1773,Berlin,9.52
1774,Berlin,8.46
1775,Berlin,10.10
1776,Berlin,8.36
1777,Berlin,8.29
1778,Berlin,9.43
1779,Berlin,10.47
1780,Berlin,8.78
1781,Berlin,9.98
1782,Berlin,8.61
1783,Berlin,9.76
1784,Berlin,7.67
1785,Berlin,7.42
1786,Berlin,7.68
1787,Berlin,9.27
1788,Berlin,8.33
1789,Berlin,8.99
1790,Berlin,9.09
1791,Berlin,9.55
1792,Berlin,8.90
1793,Berlin,9.18
1794,Berlin,10.02
1795,Berlin,8.87
1796,Berlin,9.01
1797,Berlin,10.07
1798,Berlin,9.33
1799,Berlin,6.72
1800,Berlin,8.60
1801,Berlin,9.61
1802,Berlin,9.08
1803,Berlin,8.02
1804,Berlin,8.36
1805,Berlin,7.20
1806,Berlin,9.67
1807,Berlin,9.42
1808,Berlin,8.15
1809,Berlin,8.66
1810,Berlin,8.46
1811,Berlin,9.93
1812,Berlin,7.35
1813,Berlin,8.66
1814,Berlin,7.46
1815,Berlin,8.38
1816,Berlin,7.75
1817,Berlin,8.92
1818,Berlin,9.00
1819,Berlin,9.43
1820,Berlin,7.86
1821,Berlin,9.15
1822,Berlin,10.05
1823,Berlin,8.26
1824,Berlin,9.61
1825,Berlin,9.32
1826,Berlin,9.35
1827,Berlin,8.99
1828,Berlin,8.94
1829,Berlin,6.52
1830,Berlin,8.08
1831,Berlin,8.93
1832,Berlin,8.34
1833,Berlin,8.89
1834,Berlin,10.40
1835,Berlin,8.81
1836,Berlin,8.88
1837,Berlin,8.12
1838,Berlin,6.98
1839,Berlin,8.63
1840,Berlin,7.74
1841,Berlin,9.06
1842,Berlin,8.51
1843,Berlin,9.18
1844,Berlin,7.85
1845,Berlin,7.92
1846,Berlin,9.84
1847,Berlin,8.24
1848,Berlin,8.75
1849,Berlin,8.03
1850,Berlin,8.20
1851,Berlin,8.50
1852,Berlin,9.54
1853,Berlin,7.55
1854,Berlin,8.69
1855,Berlin,7.07
1856,Berlin,8.50
1857,Berlin,9.39
1858,Berlin,7.97
1859,Berlin,9.60
1860,Berlin,8.00
1861,Berlin,8.87
1862,Berlin,8.91
1863,Berlin,9.81
1864,Berlin,6.99
1865,Berlin,8.88
1866,Berlin,9.44
1867,Berlin,8.41
1868,Berlin,10.24
1869,Berlin,9.06
1870,Berlin,7.57
1871,Berlin,7.08
1872,Berlin,9.97
1873,Berlin,9.27
1874,Berlin,9.08
1875,Berlin,8.04
1876,Berlin,8.64
1877,Berlin,8.95
1878,Berlin,9.38
1879,Berlin,7.46
1880,Berlin,9.08
1881,Berlin,7.75
1882,Berlin,9.28
1883,Berlin,8.54
1884,Berlin,9.20
1885,Berlin,8.47
1886,Berlin,8.55
1887,Berlin,7.93
1888,Berlin,7.61
1889,Berlin,8.34
1890,Berlin,8.35
1891,Berlin,8.48
1892,Berlin,8.28
1893,Berlin,8.50
1894,Berlin,8.96
1895,Berlin,8.28
1896,Berlin,8.57
1897,Berlin,8.69
1898,Berlin,9.42
1899,Berlin,8.96
1900,Berlin,9.16
1901,Berlin,8.58
1902,Berlin,7.63
1903,Berlin,9.28
1904,Berlin,9.15
1905,Berlin,8.90
1906,Berlin,9.31
1907,Berlin,8.52
1908,Berlin,8.35
1909,Berlin,8.16
1910,Berlin,9.33
1911,Berlin,9.89
1912,Berlin,8.49
1913,Berlin,9.41
1914,Berlin,9.50
1915,Berlin,8.56
1916,Berlin,9.30
1917,Berlin,8.39
1918,Berlin,9.42
1919,Berlin,8.00
1920,Berlin,9.37
1921,Berlin,9.78
1922,Berlin,7.76
1923,Berlin,8.58
1924,Berlin,8.30
1925,Berlin,9.32
1926,Berlin,9.57
1927,Berlin,8.72
1928,Berlin,8.92
1929,Berlin,7.99
1930,Berlin,9.48
1931,Berlin,8.35
1932,Berlin,9.23
1933,Berlin,8.32
1934,Berlin,10.69
1935,Berlin,9.34
1936,Berlin,9.30
1937,Berlin,9.41
1938,Berlin,9.77
1939,Berlin,9.32
1940,Berlin,7.04
1941,Berlin,7.62
1942,Berlin,7.80
1943,Berlin,9.67
1944,Berlin,9.31
1945,Berlin,9.64
1946,Berlin,9.12
1947,Berlin,8.79
1948,Berlin,9.96
1949,Berlin,10.04
1950,Berlin,9.37
1951,Berlin,9.72
1952,Berlin,8.61
1953,Berlin,10.13
1954,Berlin,8.41
1955,Berlin,8.36
1956,Berlin,7.57
1957,Berlin,9.46
1958,Berlin,9.05
1959,Berlin,9.88
1960,Berlin,9.22
1961,Berlin,9.81
1962,Berlin,8.13
1963,Berlin,8.12
1964,Berlin,8.84
1965,Berlin,8.33
1966,Berlin,9.34
1967,Berlin,10.08
1968,Berlin,9.28
1969,Berlin,8.43
1970,Berlin,8.43
1971,Berlin,9.54
1972,Berlin,8.88
1973,Berlin,9.24
1974,Berlin,9.89
1975,Berlin,10.08
1976,Berlin,9.15
1977,Berlin,9.54
1978,Berlin,8.86
1979,Berlin,8.53
1980,Berlin,8.26
1981,Berlin,9.18
1982,Berlin,10.08
1983,Berlin,10.21
1984,Berlin,8.94
1985,Berlin,8.46
1986,Berlin,8.78
1987,Berlin,8.09
1988,Berlin,10.02
1989,Berlin,10.72
1990,Berlin,10.71
1991,Berlin,9.36
1992,Berlin,10.38
1993,Berlin,9.34
1994,Berlin,10.43
1995,Berlin,9.75
1996,Berlin,7.88
1997,Berlin,9.73
1998,Berlin,10.05
1999,Berlin,10.58
2000,Berlin,10.96
2001,Berlin,9.69
2002,Berlin,10.26
2003,Berlin,10.07
2004,Berlin,9.82
2005,Berlin,9.92
2006,Berlin,10.55
2007,Berlin,10.88
2008,Berlin,10.66
2009,Berlin,10.06
2010,Berlin,8.61
2011,Berlin,10.56
2012,Berlin,9.96
2013,Berlin,10.12
1743,Hamburg,6.23
1744,Hamburg,9.63
1745,Hamburg,1.25
1746,Hamburg,
1747,Hamburg,
1748,Hamburg,
1749,Hamburg,
1750,Hamburg,9.31
1751,Hamburg,8.94
1752,Hamburg,4.65
1753,Hamburg,8.12
1754,Hamburg,7.88
1755,Hamburg,7.69
1756,Hamburg,8.64
1757,Hamburg,8.48
1758,Hamburg,7.76
1759,Hamburg,8.69
1760,Hamburg,8.36
1761,Hamburg,8.86
1762,Hamburg,7.81
1763,Hamburg,7.80
1764,Hamburg,8.25
1765,Hamburg,7.91
1766,Hamburg,8.27
1767,Hamburg,7.59
1768,Hamburg,7.64
1769,Hamburg,7.97
1770,Hamburg,7.98
1771,Hamburg,7.10
1772,Hamburg,8.26
1773,Hamburg,8.94
1774,Hamburg,7.76
1775,Hamburg,9.27
1776,Hamburg,8.00
1777,Hamburg,7.79
1778,Hamburg,8.68
1779,Hamburg,9.91
1780,Hamburg,8.27
1781,Hamburg,9.32
